reg,gender,err,mean,n,sd
1,F,0,334.5,129,105.747
1,,1,345.5,130,111.39
1,,Total,340.1,259,108.546
1,FF,0,325,129,99.076
1,,1,328.9,130,112.789
1,,Total,327,259,105.994
1,FM,0,337.3,130,110.395
1,,1,325.4,128,110.987
1,,Total,331.4,258,110.634
1,M,0,325.6,130,103.496
1,,1,324.1,128,93.308
1,,Total,324.9,258,98.385
1,MF,0,343.8,130,109.726
1,,1,339.9,129,113.27
1,,Total,341.8,259,111.306
1,MM(F),0,320.4,127,100.16
1,,1,323.2,130,107.22
1,,Total,321.8,257,103.598
1,MM(N),0,329.9,129,101.872
1,,1,342.8,131,102.4
1,,Total,336.4,260,102.147
1,MN,0,353.4,131,115.078
1,,1,353.2,129,118.675
1,,Total,353.3,260,116.651
1,NM,0,354.4,130,136.452
1,,1,341.5,129,118.434
1,,Total,348,259,127.711
1,NN,0,346.5,131,119.055
1,,1,334.8,127,117.961
1,,Total,340.7,258,118.434
1,Total,0,337.2,1296,110.888
1,,1,336,1291,110.929
1,,Total,336.6,2587,110.889
2,F,0,285.9,127,84.015
2,,1,299.2,129,77.018
2,,Total,292.6,256,80.681
2,FF,0,298.9,131,82.776
2,,1,294.9,128,78.206
2,,Total,297,259,80.419
2,FM,0,293.4,129,79.801
2,,1,304.5,131,92.15
2,,Total,299,260,86.256
2,M,0,283.3,130,73.238
2,,1,296.8,129,81.983
2,,Total,290.1,259,77.86
2,MF,0,289.4,130,92.192
2,,1,310.2,132,90.838
2,,Total,299.9,262,91.931
2,MM(F),0,290.2,129,77.065
2,,1,297,130,89.628
2,,Total,293.6,259,83.514
2,MM(N),0,305.6,130,94.374
2,,1,296,128,106.532
2,,Total,300.8,258,100.507
2,MN,0,320.1,128,103.18
2,,1,314,130,87.017
2,,Total,317,258,95.243
2,NM,0,311,131,92.236
2,,1,293.6,127,85.244
2,,Total,302.5,258,89.116
2,NN,0,307,130,82.699
2,,1,299.5,128,84.409
2,,Total,303.3,258,83.475
2,Total,0,298.5,1295,87.035
2,,1,300.6,1292,87.616
2,,Total,299.6,2587,87.315
3,F,0,304.5,129,89.331
3,,1,296.8,129,80.336
3,,Total,300.6,258,84.875
3,FF,0,293.6,130,86.94
3,,1,296.3,129,84.514
3,,Total,295,259,85.585
3,FM,0,293.5,131,84.901
3,,1,288.6,129,73.467
3,,Total,291.1,260,79.319
3,M,0,298.4,131,83.873
3,,1,291.8,130,94.935
3,,Total,295.1,261,89.442
3,MF,0,306.2,129,99.666
3,,1,297,129,92.083
3,,Total,301.6,258,95.873
3,MM(F),0,293.9,128,87.62
3,,1,286.5,127,81.906
3,,Total,290.2,255,84.737
3,MM(N),0,299.7,129,104.431
3,,1,307,128,83.791
3,,Total,303.4,257,94.601
